d_family,d_5p_del,proportions
IGHD1,0,0.06664759319597281
IGHD1,1,0.06113599069340736
IGHD1,2,0.06438242151109178
IGHD1,3,0.08958777658502906
IGHD1,4,0.11681003296084894
IGHD1,5,0.1861720490109381
IGHD1,6,0.1922913228318902
IGHD1,7,0.08188430127256305
IGHD1,8,0.08347086724391502
IGHD1,9,0.03287336318883209
IGHD1,10,0.014690513233993653
IGHD1,11,0.004284437466601722
IGHD1,12,0.00370986886594818
IGHD1,13,0.0020594619389680464
IGHD2,0,0.11482675077710733
IGHD2,1,0.09676129091241543
IGHD2,2,0.07155558603035289
IGHD2,3,0.06600612543426586
IGHD2,4,0.12362863411958311
IGHD2,5,0.0911226915341013
IGHD2,6,0.07046306454562078
IGHD2,7,0.06734777838727372
IGHD2,8,0.03940391296397879
IGHD2,9,0.02490171877857012
IGHD2,10,0.04175351983909307
IGHD2,11,0.040720424209179006
IGHD2,12,0.021770433351618212
IGHD2,13,0.045122508685317246
IGHD2,14,0.019224264033644176
IGHD2,15,0.010134393856280855
IGHD2,16,0.021279027244468823
IGHD2,17,0.00942128359846407
IGHD2,18,0.005682025964527336
IGHD2,19,0.0028752971292740903
IGHD2,20,0.0048112086304626074
IGHD2,21,0.0032638507953922104
IGHD2,22,0.0006993965990126166
IGHD2,23,0.001963338818796855
IGHD2,24,0.0028867251782775643
IGHD2,25,0.0023747485829219237
IGHD3,0,0.18268929791840613
IGHD3,1,0.0657279825094333
IGHD3,2,0.14295058791619378
IGHD3,3,0.09776525407418012
IGHD3,4,0.09755292341644138
IGHD3,5,0.05683680745102525
IGHD3,6,0.08502609954746172
IGHD3,7,0.07035679084813769
IGHD3,8,0.0330078281518945
IGHD3,9,0.036864026871472146
IGHD3,10,0.06355810017486457
IGHD3,11,0.008800078356862081
IGHD3,12,0.013626148725981807
IGHD3,13,0.011386402755640975
IGHD3,14,0.009365151881489356
IGHD3,15,0.004981551205592926
IGHD3,16,0.0024123502469542537
IGHD3,17,0.0040383921226695855
IGHD3,18,0.0013602860847391107
IGHD3,19,0.002871258442712161
IGHD3,20,0.0007767192447603985
IGHD3,21,0.0009465837709513852
IGHD3,22,0.0004993195144888276
IGHD3,23,0.0011479554270003773
IGHD3,24,0.0015034380443113534
IGHD3,25,0.0007705548063099192
IGHD3,26,0.0005774024015282328
IGHD3,27,0.0008890490120802445
IGHD3,28,0.0009746662127813467
IGHD3,29,0.0007369928636350872
IGHD4,0,0.15587971018412503
IGHD4,1,0.15478583856979292
IGHD4,2,0.0764838638911177
IGHD4,3,0.2044638376261784
IGHD4,4,0.14305376499190114
IGHD4,5,0.09870989262628357
IGHD4,6,0.09421119535525284
IGHD4,7,0.04349041209509471
IGHD4,8,0.008675844369716586
IGHD4,9,0.004423568726090341
IGHD4,10,0.008465484443883484
IGHD4,11,0.0018030850785694323
IGHD4,12,0.00208556840754531
IGHD4,13,0.0034679336344485413
IGHD5,0,0.1344672284005823
IGHD5,1,0.046461357064652875
IGHD5,2,0.11305128996940007
IGHD5,3,0.12810661447701396
IGHD5,4,0.07804385053760422
IGHD5,5,0.13232162408210246
IGHD5,6,0.07226074506611269
IGHD5,7,0.06838261539140235
IGHD5,8,0.08016940247927587
IGHD5,9,0.07685273935519576
IGHD5,10,0.017990992472337746
IGHD5,11,0.037349557042996306
IGHD5,12,0.008726794386938684
IGHD5,13,0.0038741191993486987
IGHD5,14,0.001941070075035994
IGHD6,0,0.10547301475458867
IGHD6,1,0.044947273584680626
IGHD6,2,0.11505588247706809
IGHD6,3,0.09221388557074257
IGHD6,4,0.10360781895949048
IGHD6,5,0.10086186174614621
IGHD6,6,0.12836822432993322
IGHD6,7,0.1468458649168873
IGHD6,8,0.059877097083762244
IGHD6,9,0.032295502795500045
IGHD6,10,0.04100861861746146
IGHD6,11,0.012650853329369906
IGHD6,12,0.015258274111302554
IGHD6,13,0.001535827723066591
IGHD7,0,0.1290159585666765
IGHD7,1,0.08958271927239042
IGHD7,2,0.261147837803697
IGHD7,3,0.15084845677712747
IGHD7,4,0.32115036422586213
IGHD7,5,0.048254663354246496
