v_family,v_3p_del,proportions
IGHV10,67,1.9675356615838663e-05
IGHV10,68,1.9675356615838663e-05
IGHV10,72,1.9675356615838663e-05
IGHV10,81,1.9675356615838663e-05
IGHV11,0,0.8647859922178989
IGHV11,1,0.04085603112840467
IGHV11,2,0.04693579766536965
IGHV11,3,0.021400778210116732
IGHV11,4,0.007782101167315175
IGHV11,5,0.004134241245136187
IGHV11,6,0.008511673151750972
IGHV11,7,0.0014591439688715954
IGHV11,8,0.00024319066147859923
IGHV11,9,0.0009727626459143969
IGHV11,14,0.00048638132295719845
IGHV11,15,0.00024319066147859923
IGHV11,16,0.00024319066147859923
IGHV11,17,0.00024319066147859923
IGHV11,31,0.00024319066147859923
IGHV11,39,0.00024319066147859923
IGHV11,47,0.00024319066147859923
IGHV11,51,0.00024319066147859923
IGHV11,58,0.00048638132295719845
IGHV11,59,0.00024319066147859923
IGHV12,0,0.3486753480017961
IGHV12,1,0.15850920520880107
IGHV12,2,0.13066906151773686
IGHV12,3,0.20229007633587787
IGHV12,4,0.06174225415356983
IGHV12,5,0.0655590480466996
IGHV12,6,0.007409070498428379
IGHV12,7,0.013246519982038617
IGHV12,8,0.002469690166142793
IGHV12,9,0.001796138302649304
IGHV12,10,0.003592276605298608
IGHV12,11,0.000449034575662326
IGHV12,12,0.000449034575662326
IGHV12,13,0.000898069151324652
IGHV12,14,0.000898069151324652
IGHV12,16,0.000224517287831163
IGHV12,17,0.000224517287831163
IGHV12,23,0.000224517287831163
IGHV12,25,0.000224517287831163
IGHV12,29,0.000224517287831163
IGHV12,32,0.000224517287831163
IGHV13,0,0.006299212598425197
IGHV13,1,0.0041517537580529704
IGHV13,2,0.7937007874015748
IGHV13,3,0.08460987831066571
IGHV13,4,0.032355046528274874
IGHV13,5,0.046957766642806015
IGHV13,6,0.017609162491052256
IGHV13,7,0.0038654259126700073
IGHV13,8,0.004008589835361489
IGHV13,9,0.001145311381531854
IGHV13,10,0.00014316392269148176
IGHV13,11,0.0014316392269148174
IGHV13,12,0.0007158196134574087
IGHV13,13,0.00014316392269148176
IGHV13,14,0.000572655690765927
IGHV13,15,0.00014316392269148176
IGHV13,16,0.0002863278453829635
IGHV13,17,0.0015748031496062992
IGHV13,71,0.00014316392269148176
IGHV13,99,0.00014316392269148176
IGHV14,0,0.5074172411273232
IGHV14,1,0.19373492801987674
IGHV14,2,0.0642924999391031
IGHV14,3,0.11753586826784888
IGHV14,4,0.08922125057852046
IGHV14,5,0.016096265802742794
IGHV14,6,0.007979928385258081
IGHV14,7,0.0020558789857014104
IGHV14,8,0.0004920468662460722
IGHV14,9,0.0002582028110004141
IGHV14,10,0.000209485299490902
IGHV14,11,0.00016563953913234112
IGHV14,12,0.00011692202762282902
IGHV14,13,7.307626726426815e-05
IGHV14,14,8.769152071712176e-05
IGHV14,15,5.846101381141451e-05
IGHV14,16,1.4615253452853628e-05
IGHV14,17,6.333276496236572e-05
IGHV14,18,1.9487004603804837e-05
IGHV14,19,4.871751150951209e-06
IGHV14,21,4.871751150951209e-06
IGHV14,23,1.4615253452853628e-05
IGHV14,30,4.871751150951209e-06
IGHV14,48,4.871751150951209e-06
IGHV14,51,4.871751150951209e-06
IGHV14,57,4.871751150951209e-06
IGHV14,64,4.871751150951209e-06
IGHV14,65,4.871751150951209e-06
IGHV14,68,4.871751150951209e-06
IGHV14,75,4.871751150951209e-06
IGHV14,77,1.9487004603804837e-05
IGHV14,78,4.871751150951209e-06
IGHV14,79,4.871751150951209e-06
IGHV14,88,4.871751150951209e-06
IGHV14,98,9.743502301902418e-06
IGHV15,0,0.7813827732715334
IGHV15,1,0.11471610660486674
IGHV15,2,0.050212437234453455
IGHV15,3,0.01197373503283121
IGHV15,4,0.02085747392815759
IGHV15,5,0.006179992275009656
IGHV15,6,0.001544998068752414
IGHV15,7,0.0034762456546929316
IGHV15,8,0.001544998068752414
IGHV15,9,0.0019312475859405175
IGHV15,10,0.0003862495171881035
IGHV15,11,0.0011587485515643105
IGHV15,12,0.0003862495171881035
IGHV15,13,0.000772499034376207
IGHV15,14,0.0003862495171881035
IGHV15,15,0.000772499034376207
IGHV15,16,0.0003862495171881035
IGHV15,52,0.0019312475859405175
IGHV2,0,0.4339016479325727
IGHV2,1,0.16085640105085555
IGHV2,2,0.23425450119030192
IGHV2,3,0.07738888589280349
IGHV2,4,0.04681854251573587
IGHV2,5,0.03040085054584396
IGHV2,6,0.0072573748642131295
IGHV2,7,0.0024268291743387853
IGHV2,8,0.0014715059438054222
IGHV2,9,0.0011325202813581
IGHV2,10,0.0007550135209053999
IGHV2,11,0.0007087882032989468
IGHV2,12,0.0006163375680860408
IGHV2,13,0.00040832363885700195
IGHV2,14,0.00033128144284624687
IGHV2,15,0.00019260549002688774
IGHV2,16,0.0001617886116225857
IGHV2,17,8.47464156118306e-05
IGHV2,18,0.00010785907441505712
IGHV2,19,8.47464156118306e-05
IGHV2,20,0.0002542392468354918
IGHV2,21,4.622531760645305e-05
IGHV2,22,7.70421960107551e-05
IGHV2,23,4.622531760645305e-05
IGHV2,24,8.47464156118306e-05
IGHV2,25,2.3112658803226526e-05
IGHV2,26,4.622531760645305e-05
IGHV2,27,1.540843920215102e-05
IGHV2,30,1.540843920215102e-05
IGHV2,65,7.70421960107551e-06
IGHV2,71,7.70421960107551e-06
IGHV2,90,7.70421960107551e-06
IGHV2,97,7.70421960107551e-06
IGHV3,0,0.4053280704107507
IGHV3,1,0.2659500405577165
IGHV3,2,0.11558629851756756
IGHV3,3,0.1259396935497263
